category,name,link,price,updated_date
snacks,Current Potato Sticks 50G,https://www.cheers.com.np//grocery/product/current-potato-sticks-50g,Rs. 50,2024-02-28 01:16:30.683400
snacks,Divella 9-Spaghettini 500G,https://www.cheers.com.np//grocery/product/divella-9-spaghettini-500g,Rs. 315,2024-02-28 01:16:30.684400
snacks,Divella Pasta 37-Riccioli 500G,https://www.cheers.com.np//grocery/product/divella-pasta-37-riccioli-500g,Rs. 305,2024-02-28 01:16:30.685400
snacks,Divella Pasta 40-Fusilli 500G,https://www.cheers.com.np//grocery/product/divella-pasta-40-fusilli-500g,Rs. 315,2024-02-28 01:16:30.686403
snacks,Divella Pasta 45-Gnocchi 500G,https://www.cheers.com.np//grocery/product/divella-pasta-45-gnocchi-500g,Rs. 305,2024-02-28 01:16:30.686403
snacks,Divella Pasta 50-Lumache 500G,https://www.cheers.com.np//grocery/product/divella-pasta-50-lumache-500g,Rs. 305,2024-02-28 01:16:30.687401
snacks,Divella Pasta 56-Pipe Rigate 500G,https://www.cheers.com.np//grocery/product/divella-pasta-56-pipe-rigate-500g,Rs. 305,2024-02-28 01:16:30.688399
snacks,Divella Whole Wheat Pasta 27-Penne Ziti Rigate 500G,https://www.cheers.com.np//grocery/product/divella-whole-wheat-pasta-27-penne-ziti-rigate-500g,Rs. 463,2024-02-28 01:16:30.688399
snacks,Divella Whole Wheat Pasta 40-Fusilli 500G,https://www.cheers.com.np//grocery/product/divella-whole-wheat-pasta-40-fusilli-500g,Rs. 463,2024-02-28 01:16:30.689399
snacks,Haldiram's All In One 360G,https://www.cheers.com.np//grocery/product/haldirams-all-in-one-360g,Rs. 257,2024-02-28 01:16:30.690399
snacks,Haldiram's Aloo Bhujia 200G,https://www.cheers.com.np//grocery/product/haldirams-aloo-bhujia-200g-1,Rs. 131,2024-02-28 01:16:30.691400
snacks,Haldiram's Aloo Bhujia 400G,https://www.cheers.com.np//grocery/product/haldirams-aloo-bhujia-400g-1,Rs. 257,2024-02-28 01:16:30.691400
snacks,Haldiram's Festive Gift Pack (Medium),https://www.cheers.com.np//grocery/product/haldirams-festive-gift-pack-medium,"Rs. 1,500",2024-02-28 01:16:30.692471
snacks,Haldiram's Gup Shup Peanuts 200G,https://www.cheers.com.np//grocery/product/haldirams-gup-shup-peanuts-200g-1,Rs. 131,2024-02-28 01:16:30.693984
snacks,Haldiram's Khatta Meetha 360G,https://www.cheers.com.np//grocery/product/haldirams-khatta-meetha-360g-1,Rs. 237,2024-02-28 01:16:30.694987
snacks,Haldiram's Masala Bhujia 1KG,https://www.cheers.com.np//grocery/product/haldirams-masala-bhujia-1kg,Rs. 693,2024-02-28 01:16:30.695986
snacks,Haldiram's Masala Bhujia 360G,https://www.cheers.com.np//grocery/product/haldirams-masala-bhujia-360g,Rs. 268,2024-02-28 01:16:30.695986
snacks,Haldiram's Mexilla Nacho Cheese Classic Tortilla Chips 55G,https://www.cheers.com.np//grocery/product/haldirams-mexilla-nacho-cheese-classic-tortilla-chips-55g,Rs. 60,2024-02-28 01:16:30.696985
snacks,Haldiram's Mexilla Sweet Thai Chilli Classic Tortilla Chips 55G,https://www.cheers.com.np//grocery/product/haldirams-mexilla-sweet-thai-chilli-classic-tortilla-chips-55g,Rs. 60,2024-02-28 01:16:30.697984
snacks,Haldiram's Moong Dal 180G,https://www.cheers.com.np//grocery/product/haldirams-moong-dal-180g-1,Rs. 133,2024-02-28 01:16:30.698985
snacks,Haldiram's Moong Dal 1KG,https://www.cheers.com.np//grocery/product/haldirams-moong-dal-1kg-1,Rs. 725,2024-02-28 01:16:30.698985
snacks,Haldiram's Moong Dal 360G,https://www.cheers.com.np//grocery/product/haldirams-moong-dal-360g-1,Rs. 278,2024-02-28 01:16:30.699985
snacks,Haldiram's Plain Bhujia 1KG,https://www.cheers.com.np//grocery/product/haldirams-plain-bhujia-1kg,Rs. 632,2024-02-28 01:16:30.700984
snacks,Haldiram's Plain Bhujia 360G,https://www.cheers.com.np//grocery/product/haldirams-plain-bhujia-360g-1,Rs. 268,2024-02-28 01:16:30.700984
snacks,Haldiram's Punjabi Masala Papad 360G,https://www.cheers.com.np//grocery/product/haldirams-punjabi-masala-papad-360g-1,Rs. 235,2024-02-28 01:16:30.701983
snacks,Haldiram's Punjabi Tadka 200G,https://www.cheers.com.np//grocery/product/haldirams-punjabi-tadka-200g,Rs. 147,2024-02-28 01:16:30.702986
snacks,Haldiram's Salted Peanuts 180G,https://www.cheers.com.np//grocery/product/haldirams-salted-peanuts-180g,Rs. 131,2024-02-28 01:16:30.702986
snacks,Haldiram's Snac Lite Fun Fingers Magic Masala 48G,https://www.cheers.com.np//grocery/product/haldirams-snac-lite-fun-fingers-magic-masala-48g,Rs. 60,2024-02-28 01:16:30.704366
snacks,Haldiram's Soystix 150G,https://www.cheers.com.np//grocery/product/haldirams-soystix-150g-1,Rs. 105,2024-02-28 01:16:30.705416
snacks,Kent Cream Of Chicken Soup 71G,https://www.cheers.com.np//grocery/product/kent-cream-of-chicken-soup-71g,Rs. 95,2024-02-28 01:16:30.705937
snacks,Kent Cream Of Mushroom Soup 68G,https://www.cheers.com.np//grocery/product/kent-cream-of-mushroom-soup-68g,Rs. 95,2024-02-28 01:16:30.706978
snacks,Kent Cube Chicken Stock 20G (10G X 2's),https://www.cheers.com.np//grocery/product/kent-cube-chicken-stock-20g-10g-x-2s,Rs. 40,2024-02-28 01:16:30.707504
snacks,Kurkure Masala Munch 80G,https://www.cheers.com.np//grocery/product/kurkure-masala-munch-80g,Rs. 50,2024-02-28 01:16:30.709629
snacks,Laverland Crunch Cheese Seaweed 13.5G (4.5G X 3's),https://www.cheers.com.np//grocery/product/laverland-crunch-cheese-seaweed-13-5g-4-5g-x-3s,Rs. 350,2024-02-28 01:16:30.710165
snacks,Laverland Crunch Cheese Seaweed 40.5G (4.5G X 9's),https://www.cheers.com.np//grocery/product/laverland-crunch-cheese-seaweed-40-5g-4-5g-x-9s,Rs. 900,2024-02-28 01:16:30.711214
snacks,Laverland Crunch Sea Salt Seaweed 13.5G (4.5G x 3's),https://www.cheers.com.np//grocery/product/laverland-crunch-sea-salt-seaweed-13-5g-4-5g-x-3s,Rs. 350,2024-02-28 01:16:30.712259
snacks,Laverland Crunch Sea Salt Seaweed 40.5G (4.5G x 9's),https://www.cheers.com.np//grocery/product/laverland-crunch-sea-salt-seaweed-40-5g-4-5g-x-9s,Rs. 900,2024-02-28 01:16:30.712783
snacks,Laverland Crunch Teriyaki Seaweed 40.5G (4.5G X 9's),https://www.cheers.com.np//grocery/product/laverland-crunch-teriyaki-seaweed-40-5g-4-5g-x-9s,Rs. 900,2024-02-28 01:16:30.713832
snacks,Laverland Crunch Wasabi Seaweed 13.5G (4.5G x 3's),https://www.cheers.com.np//grocery/product/laverland-crunch-wasabi-seaweed-13-5g-4-5g-x-3s,Rs. 350,2024-02-28 01:16:30.714883
snacks,Laverland Crunch Wasabi Seaweed 40.5G (4.5G x 9's),https://www.cheers.com.np//grocery/product/laverland-crunch-wasabi-seaweed-40-5g-4-5g-x-9s,Rs. 900,2024-02-28 01:16:30.715405
snacks,Lays American Style Cream & Onion 78G,https://www.cheers.com.np//grocery/product/lays-american-style-cream-onion-78g,Rs. 75,2024-02-28 01:16:30.715928
snacks,Mamee Potato Crisps Cheese 100G,https://www.cheers.com.np//grocery/product/mamee-potato-crisps-cheese-100g,Rs. 230,2024-02-28 01:16:30.716987
snacks,Mara Baked Beans In Tomato Sauce 400G,https://www.cheers.com.np//grocery/product/mara-baked-beans-in-tomato-sauce-400g,Rs. 205,2024-02-28 01:16:30.717514
snacks,Mara Boiled Red Kidney Beans 400G,https://www.cheers.com.np//grocery/product/mara-boiled-red-kidney-beans-400g,Rs. 205,2024-02-28 01:16:30.718567
snacks,Mismas 3 Angles Masala Magic 77G,https://www.cheers.com.np//grocery/product/mismas-3-angles-masala-magic-77g,Rs. 60,2024-02-28 01:16:30.719093
snacks,Mister Potato Sour Cream & Onion 160G,https://www.cheers.com.np//grocery/product/mister-potato-sour-cream-onion-160g,Rs. 240,2024-02-28 01:16:30.720143
snacks,Pepe's Mexicana Flour Tortilla Wrap 20cm 12's,https://www.cheers.com.np//grocery/product/pepes-mexicana-flour-tortilla-wrap-20cm-12s,Rs. 670,2024-02-28 01:16:30.720689
snacks,Pepe's Mexicana Flour Tortilla Wrap 25cm 12's,https://www.cheers.com.np//grocery/product/pepes-mexicana-flour-tortilla-wrap-25cm-12s,Rs. 910,2024-02-28 01:16:30.721218
snacks,Tastee Rice Paper Round 18cm 400G,https://www.cheers.com.np//grocery/product/tastee-rice-paper-round-18cm-400g,Rs. 600,2024-02-28 01:16:30.722273
snacks,Tastee Rice Paper Round 22cm 400G,https://www.cheers.com.np//grocery/product/tastee-rice-paper-round-22cm-400g,Rs. 600,2024-02-28 01:16:30.722797
snacks,Tastee Rice Paper Square 22cm 400G,https://www.cheers.com.np//grocery/product/tastee-rice-paper-square-22cm-400g,Rs. 600,2024-02-28 01:16:30.723346
snacks,Tastee Rice Stick Noodles 4mm 400G,https://www.cheers.com.np//grocery/product/tastee-rice-stick-noodles-4mm-400g,Rs. 600,2024-02-28 01:16:30.725444
snacks,Tong Garden Chilli Flavoured Broad Beans With Skin 120G,https://www.cheers.com.np//grocery/product/tong-garden-chilli-flavoured-broad-beans-with-skin-120g-1,Rs. 165,2024-02-28 01:16:30.726441
snacks,Tong Garden Onion & Garlic Broad Beans With Skin 120G,https://www.cheers.com.np//grocery/product/tong-garden-onion-garlic-broad-beans-with-skin-120g-1,Rs. 145,2024-02-28 01:16:30.727450
snacks,Tong Garden Party Snack 180G,https://www.cheers.com.np//grocery/product/tong-garden-party-snack-180g,Rs. 280,2024-02-28 01:16:30.728442
snacks,Tong Garden Wasabi Coated Green Peas 90G,https://www.cheers.com.np//grocery/product/tong-garden-wasabi-coated-green-peas-90g-1,Rs. 147,2024-02-28 01:16:30.729443
snacks,Wai Wai Jumbo Chicken Flavour Noodles 75G,https://www.cheers.com.np//grocery/product/wai-wai-jumbo-chicken-flavour-noodles-75g,Rs. 25,2024-02-28 01:16:30.730444
snacks,Wai Wai Jumbo Chicken Flavour Noodles 75G x 30 Packets,https://www.cheers.com.np//grocery/product/wai-wai-jumbo-chicken-flavour-noodles-75g-x-30-packets,Rs. 720,2024-02-28 01:16:30.731442
snacks,Wai Wai Jumbo Veg Masala Flavour Noodles 80G,https://www.cheers.com.np//grocery/product/wai-wai-jumbo-veg-masala-flavour-noodles-80g,Rs. 25,2024-02-28 01:16:30.731442
snacks,Wai Wai Jumbo Veg Masala Flavour Noodles 80G x 30 Packets,https://www.cheers.com.np//grocery/product/wai-wai-jumbo-veg-masala-flavour-noodles-80g-x-30-packets,Rs. 720,2024-02-28 01:16:30.732445
snacks,Wai Wai Quick Chicken Pizza Instant Noodles 70G,https://www.cheers.com.np//grocery/product/wai-wai-quick-chicken-pizza-instant-noodles-70g,Rs. 20,2024-02-28 01:16:30.733443
